순위,팀명,경기,승,패,무,승률,게임차,최근10경기,연속,홈,방문
1,삼성,117,70,44,3,0.614,0.0,7승1무2패,7승,35-1-21,35-2-23
2,KT,113,67,43,3,0.609,1.0,5승1무4패,1승,34-1-21,33-2-22
3,LG,118,66,51,1,0.564,5.5,7승0무3패,3승,37-0-24,29-1-27
4,KIA,117,63,52,2,0.548,7.5,6승0무4패,2패,33-2-22,30-0-30
5,두산,119,61,54,4,0.53,9.5,4승0무6패,2패,33-2-23,28-2-31
6,NC,113,53,58,2,0.477,15.5,6승0무4패,5승,29-0-31,24-2-27
7,롯데,115,50,63,2,0.442,19.5,4승0무6패,6패,23-0-32,27-2-31
8,한화,115,49,63,3,0.438,20.0,1승0무9패,7패,23-2-33,26-1-30
9,SSG,119,49,65,5,0.43,21.0,6승1무3패,1승,24-4-30,25-1-35
10,키움,122,42,77,3,0.353,30.5,2승1무7패,5패,25-2-37,17-1-40
