순위,팀명,경기,승,패,무,승률,게임차,최근10경기,연속,홈,방문
1,삼성,96,58,36,2,0.617,0.0,6승0무4패,1패,29-1-17,29-1-19
2,KT,93,55,36,2,0.604,1.5,8승1무1패,2승,26-1-19,29-1-17
3,LG,96,54,42,0,0.563,5.0,2승0무8패,1패,31-0-20,23-0-22
4,KIA,98,51,45,2,0.531,8.0,5승0무5패,1승,26-2-20,25-0-25
5,두산,97,49,45,3,0.521,9.0,5승1무4패,1패,26-1-19,23-2-26
6,한화,94,45,46,3,0.495,11.5,5승1무4패,1승,21-2-27,24-1-19
7,NC,93,42,49,2,0.462,14.5,2승1무7패,4패,22-0-25,20-2-24
8,롯데,96,42,52,2,0.447,16.0,4승0무6패,1패,17-0-29,25-2-23
9,SSG,98,37,57,4,0.394,21.0,5승1무4패,1승,18-3-27,19-1-30
10,키움,99,36,61,2,0.371,23.5,5승1무4패,1승,20-1-30,16-1-31
