순위,팀명,경기,승,패,무,승률,게임차,최근10경기,연속,홈,방문
1,KT,133,80,49,4,0.62,0.0,6승1무3패,1패,42-1-24,38-3-25
2,삼성,133,78,52,3,0.6,2.5,5승0무5패,2승,39-1-25,39-2-27
3,LG,133,75,57,1,0.568,6.5,7승0무3패,2패,40-0-28,35-1-29
4,KIA,132,72,58,2,0.554,8.5,6승0무4패,1승,40-2-24,32-0-34
5,두산,134,67,62,5,0.519,13.0,5승1무4패,2승,37-3-26,30-2-36
6,NC,133,62,69,2,0.473,19.0,3승0무7패,2승,31-0-37,31-2-32
7,롯데,132,59,71,2,0.454,21.5,7승0무3패,6승,26-0-38,33-2-33
8,SSG,134,58,71,5,0.45,22.0,6승0무4패,2패,29-4-33,29-1-38
9,한화,134,54,76,4,0.415,26.5,0승1무9패,11패,25-3-38,29-1-38
10,키움,136,46,86,4,0.348,35.5,3승1무6패,1승,27-2-42,19-2-44
