순위,팀명,경기,승,패,무,승률,게임차,최근10경기,연속,홈,방문
1,KT,104,62,40,2,0.608,0.0,6승0무4패,1패,31-1-20,31-1-20
2,삼성,105,62,41,2,0.602,0.5,4승0무6패,3승,31-1-19,31-1-22
3,LG,108,59,48,1,0.551,5.5,4승1무5패,1승,34-0-22,25-1-26
4,KIA,106,56,48,2,0.538,7.0,6승0무4패,2승,30-2-22,26-0-26
5,두산,107,55,48,4,0.534,7.5,6승1무3패,2패,30-2-20,25-2-28
6,한화,104,48,53,3,0.475,13.5,3승0무7패,3패,22-2-27,26-1-26
7,NC,100,46,52,2,0.469,14.0,4승1무5패,1패,25-0-27,21-2-25
8,롯데,105,46,57,2,0.447,16.5,4승0무6패,1승,20-0-31,26-2-26
9,SSG,109,43,62,4,0.41,20.5,6승0무4패,1승,21-3-29,22-1-33
10,키움,110,40,68,2,0.37,25.0,4승0무6패,1패,23-1-33,17-1-35
