순위,팀명,경기,승,패,무,승률,게임차,최근10경기,연속,홈,방문
1,삼성,121,72,46,3,0.61,0.0,7승1무2패,2승,35-1-22,37-2-24
2,KT,118,69,46,3,0.6,1.5,5승0무5패,3패,36-1-21,33-2-25
3,LG,122,68,53,1,0.562,5.5,7승0무3패,2패,38-0-26,30-1-27
4,KIA,120,66,52,2,0.559,6.0,6승0무4패,3승,36-2-22,30-0-30
5,두산,123,62,57,4,0.521,10.5,3승0무7패,1승,33-2-24,29-2-33
6,NC,116,55,59,2,0.482,15.0,7승0무3패,1패,29-0-31,26-2-28
7,한화,120,52,65,3,0.444,19.5,3승0무7패,3승,23-2-33,29-1-32
8,SSG,124,52,67,5,0.437,20.5,7승0무3패,1패,26-4-31,26-1-36
9,롯데,119,51,66,2,0.436,20.5,1승0무9패,3패,23-0-35,28-2-31
10,키움,127,44,80,3,0.355,31.0,2승0무8패,1승,27-2-40,17-1-40
