순위,팀명,경기,승,패,무,승률,게임차,최근10경기,연속,홈,방문
1,KT,132,80,48,4,0.625,0.0,7승1무2패,1승,42-1-23,38-3-25
2,삼성,133,78,52,3,0.6,3.0,5승0무5패,2승,39-1-25,39-2-27
3,LG,132,75,56,1,0.573,6.5,7승0무3패,1패,40-0-28,35-1-28
4,KIA,131,71,58,2,0.55,9.5,5승0무5패,1패,39-2-24,32-0-34
5,두산,134,67,62,5,0.519,13.5,5승1무4패,2승,37-3-26,30-2-36
6,NC,132,61,69,2,0.469,20.0,2승0무8패,1승,30-0-37,31-2-32
7,롯데,132,59,71,2,0.454,22.0,7승0무3패,6승,26-0-38,33-2-33
8,SSG,134,58,71,5,0.45,22.5,6승0무4패,2패,29-4-33,29-1-38
9,한화,133,54,75,4,0.419,26.5,0승1무9패,10패,25-3-38,29-1-37
10,키움,135,45,86,4,0.344,36.5,2승1무7패,6패,27-2-42,18-2-44
