순위,팀명,경기,승,패,무,승률,게임차,최근10경기,연속,홈,방문
1,KT,129,78,47,4,0.624,0.0,8승1무1패,2승,41-1-22,37-3-25
2,삼성,131,76,52,3,0.594,3.5,4승0무6패,2패,38-1-25,38-2-27
3,LG,131,75,55,1,0.577,5.5,7승0무3패,7승,40-0-27,35-1-28
4,KIA,130,71,57,2,0.555,8.5,5승0무5패,3승,39-2-24,32-0-33
5,두산,132,65,62,5,0.512,14.0,4승1무5패,2패,36-3-26,29-2-36
6,NC,128,59,67,2,0.468,19.5,3승0무7패,7패,29-0-37,30-2-30
7,SSG,132,58,69,5,0.457,21.0,7승0무3패,4승,29-4-31,29-1-38
8,롯데,129,56,71,2,0.441,23.0,5승0무5패,3승,26-0-38,30-2-33
9,한화,130,54,72,4,0.429,24.5,2승1무7패,7패,25-3-36,29-1-36
10,키움,134,45,85,4,0.346,35.5,2승1무7패,5패,27-2-41,18-2-44
