순위,팀명,경기,승,패,무,승률,게임차,최근10경기,연속,홈,방문
1,KT,97,59,36,2,0.621,0.0,8승1무1패,6승,29-1-19,30-1-17
2,삼성,99,59,38,2,0.608,1.0,5승0무5패,1패,29-1-19,30-1-20
3,LG,100,55,44,1,0.556,6.0,3승1무6패,2패,32-0-20,23-1-25
4,두산,101,52,45,4,0.536,8.0,5승2무3패,3승,28-2-19,24-2-26
5,KIA,100,52,46,2,0.531,8.5,4승0무6패,1패,26-2-20,26-0-26
6,한화,98,46,49,3,0.484,13.0,5승0무5패,3패,22-2-27,25-1-22
7,NC,95,43,50,2,0.462,15.0,3승1무6패,1승,23-0-26,20-2-24
8,롯데,99,43,54,2,0.443,17.0,4승0무6패,1승,19-0-30,25-2-24
9,SSG,102,38,60,4,0.388,22.5,5승1무4패,1패,19-3-28,20-1-32
10,키움,103,38,63,2,0.376,24.0,5승0무5패,1승,22-1-31,16-1-33
