순위,팀명,경기,승,패,무,승률,게임차,최근10경기,연속,홈,방문
1,KT,114,68,43,3,0.613,0.0,6승1무3패,2승,35-1-21,33-2-22
2,삼성,118,70,45,3,0.609,0.0,7승1무2패,1패,35-1-22,35-2-23
3,LG,119,67,51,1,0.568,4.5,7승0무3패,4승,37-0-24,30-1-27
4,KIA,117,63,52,2,0.548,7.0,6승0무4패,2패,33-2-22,30-0-30
5,두산,120,61,55,4,0.526,9.5,4승0무6패,3패,33-2-24,28-2-31
6,NC,113,53,58,2,0.477,15.0,6승0무4패,5승,29-0-31,24-2-27
7,롯데,116,51,63,2,0.447,18.5,4승0무6패,1승,23-0-32,28-2-31
8,SSG,120,50,65,5,0.435,20.0,6승1무3패,2승,24-4-30,26-1-35
9,한화,116,49,64,3,0.434,20.0,1승0무9패,8패,23-2-33,26-1-31
10,키움,123,42,78,3,0.35,30.5,2승1무7패,6패,25-2-38,17-1-40
