순위,팀명,경기,승,패,무,승률,게임차,최근10경기,연속,홈,방문
1,KT,130,79,47,4,0.627,0.0,8승1무1패,3승,41-1-22,38-3-25
2,삼성,131,76,52,3,0.594,4.0,4승0무6패,2패,38-1-25,38-2-27
3,LG,131,75,55,1,0.577,6.0,7승0무3패,7승,40-0-27,35-1-28
4,KIA,130,71,57,2,0.555,9.0,5승0무5패,3승,39-2-24,32-0-33
5,두산,132,65,62,5,0.512,14.5,4승1무5패,2패,36-3-26,29-2-36
6,NC,128,59,67,2,0.468,20.0,3승0무7패,7패,29-0-37,30-2-30
7,SSG,133,58,70,5,0.453,22.0,6승0무4패,1패,29-4-32,29-1-38
8,롯데,130,57,71,2,0.445,23.0,5승0무5패,4승,26-0-38,31-2-33
9,한화,131,54,73,4,0.425,25.5,1승1무8패,8패,25-3-37,29-1-36
10,키움,134,45,85,4,0.346,36.0,2승1무7패,5패,27-2-41,18-2-44
