순위,팀명,경기,승,패,무,승률,게임차,최근10경기,연속,홈,방문
1,KT,116,69,44,3,0.611,0.0,6승1무3패,1패,36-1-21,33-2-23
2,삼성,119,70,46,3,0.603,0.5,7승1무2패,2패,35-1-22,35-2-24
3,LG,120,68,51,1,0.571,4.0,8승0무2패,5승,38-0-24,30-1-27
4,KIA,118,64,52,2,0.552,6.5,6승0무4패,1승,34-2-22,30-0-30
5,두산,121,61,56,4,0.521,10.0,4승0무6패,4패,33-2-24,28-2-32
6,NC,114,54,58,2,0.482,14.5,6승0무4패,6승,29-0-31,25-2-27
7,롯데,117,51,64,2,0.443,19.0,3승0무7패,1패,23-0-33,28-2-31
8,SSG,122,51,66,5,0.436,20.0,6승1무3패,1승,25-4-30,26-1-36
9,한화,118,50,65,3,0.435,20.0,1승0무9패,1승,23-2-33,27-1-32
10,키움,125,43,79,3,0.352,30.5,2승1무7패,1패,26-2-39,17-1-40
