순위,팀명,경기,승,패,무,승률,게임차,최근10경기,연속,홈,방문
1,KT,97,59,36,2,0.621,0.0,8승1무1패,6승,29-1-19,30-1-17
2,삼성,100,59,39,2,0.602,1.5,5승0무5패,2패,29-1-19,30-1-20
3,LG,101,55,45,1,0.55,6.5,3승1무6패,3패,32-0-20,23-1-25
4,두산,101,52,45,4,0.536,8.0,5승2무3패,3승,28-2-19,24-2-26
5,KIA,100,52,46,2,0.531,8.5,4승0무6패,1패,26-2-20,26-0-26
6,한화,99,47,49,3,0.49,12.5,5승0무5패,1승,22-2-27,25-1-22
7,NC,95,43,50,2,0.462,15.0,3승1무6패,1승,23-0-26,20-2-24
8,롯데,100,44,54,2,0.449,16.5,4승0무6패,2승,19-0-30,25-2-24
9,SSG,103,39,60,4,0.394,22.0,5승1무4패,1승,19-3-28,20-1-32
10,키움,104,38,64,2,0.373,24.5,5승0무5패,1패,22-1-31,16-1-33
