순위,팀명,경기,승,패,무,승률,게임차,최근10경기,연속,홈,방문
1,삼성,94,57,35,2,0.62,0.0,7승0무3패,1패,28-1-16,29-1-19
2,KT,91,53,36,2,0.596,2.5,8승1무1패,1패,26-1-19,27-1-17
3,LG,94,53,41,0,0.564,5.0,1승0무9패,1패,30-0-19,23-0-22
4,KIA,96,50,44,2,0.532,8.0,5승0무5패,1패,26-2-20,24-0-24
5,두산,95,48,44,3,0.522,9.0,6승1무3패,1승,26-1-19,22-2-25
6,한화,92,44,45,3,0.494,11.5,4승1무5패,1승,20-2-26,24-1-19
7,NC,91,42,47,2,0.472,13.5,3승1무6패,2패,22-0-23,20-2-24
8,롯데,94,41,51,2,0.446,16.0,3승0무7패,1승,17-0-29,24-2-22
9,SSG,96,36,56,4,0.391,21.0,5승1무4패,4승,17-3-26,19-1-30
10,키움,97,35,60,2,0.368,23.5,6승1무3패,1승,20-1-30,15-1-30
