순위,팀명,경기,승,패,무,승률,게임차,최근10경기,연속,홈,방문
1,KT,121,72,46,3,0.61,0.0,6승0무4패,3승,37-1-21,35-2-25
2,삼성,123,73,47,3,0.608,0.0,7승0무3패,1패,36-1-23,37-2-24
3,LG,124,68,55,1,0.553,6.5,5승0무5패,4패,38-0-27,30-1-28
4,KIA,123,66,55,2,0.545,7.5,5승0무5패,3패,36-2-24,30-0-31
5,두산,126,63,59,4,0.516,11.0,3승0무7패,1승,34-2-25,29-2-34
6,NC,119,57,60,2,0.487,14.5,8승0무2패,2승,29-0-32,28-2-28
7,한화,123,54,66,3,0.45,19.0,5승0무5패,1패,25-2-33,29-1-33
8,SSG,127,54,68,5,0.443,20.0,6승0무4패,2승,27-4-31,27-1-37
9,롯데,121,52,67,2,0.437,20.5,2승0무8패,1패,23-0-36,29-2-31
10,키움,129,45,81,3,0.357,31.0,3승0무7패,1패,27-2-40,18-1-41
