순위,팀명,경기,승,패,무,승률,게임차,최근10경기,연속,홈,방문
1,KT,101,61,38,2,0.616,0.0,8승0무2패,1승,30-1-19,31-1-19
2,삼성,104,61,41,2,0.598,1.5,4승0무6패,2승,30-1-19,31-1-22
3,LG,106,58,47,1,0.552,6.0,4승1무5패,1승,33-0-21,25-1-26
4,두산,105,55,46,4,0.545,7.0,7승1무2패,2승,30-2-20,25-2-26
5,KIA,104,54,48,2,0.529,8.5,5승0무5패,2패,28-2-22,26-0-26
6,한화,103,48,52,3,0.48,13.5,4승0무6패,2패,22-2-27,26-1-25
7,NC,99,46,51,2,0.474,14.0,4승1무5패,3승,25-0-27,21-2-24
8,롯데,104,45,57,2,0.441,17.5,4승0무6패,1패,19-0-31,26-2-26
9,SSG,108,42,62,4,0.404,21.5,5승0무5패,1패,21-3-29,21-1-33
10,키움,108,39,67,2,0.368,25.5,4승0무6패,2패,23-1-33,16-1-34
