순위,팀명,경기,승,패,무,승률,게임차,최근10경기,연속,홈,방문
1,KT,122,73,46,3,0.613,0.0,7승0무3패,4승,37-1-21,36-2-25
2,삼성,124,74,47,3,0.612,0.0,7승0무3패,1승,37-1-23,37-2-24
3,LG,124,68,55,1,0.553,7.0,5승0무5패,4패,38-0-27,30-1-28
4,KIA,124,67,55,2,0.549,7.5,5승0무5패,1승,37-2-24,30-0-31
5,두산,126,63,59,4,0.516,11.5,3승0무7패,1승,34-2-25,29-2-34
6,NC,119,57,60,2,0.487,15.0,8승0무2패,2승,29-0-32,28-2-28
7,한화,123,54,66,3,0.45,19.5,5승0무5패,1패,25-2-33,29-1-33
8,SSG,128,54,69,5,0.439,21.0,6승0무4패,1패,27-4-31,27-1-38
9,롯데,122,52,68,2,0.433,21.5,2승0무8패,2패,23-0-37,29-2-31
10,키움,130,45,82,3,0.354,32.0,3승0무7패,2패,27-2-40,18-1-42
