순위,팀명,경기,승,패,무,승률,게임차,최근10경기,연속,홈,방문
1,삼성,120,71,46,3,0.607,0.0,7승1무2패,1승,35-1-22,36-2-24
2,KT,117,69,45,3,0.605,0.5,6승0무4패,2패,36-1-21,33-2-24
3,LG,121,68,52,1,0.567,4.5,8승0무2패,1패,38-0-25,30-1-27
4,KIA,119,65,52,2,0.556,6.0,6승0무4패,2승,35-2-22,30-0-30
5,두산,122,61,57,4,0.517,10.5,3승0무7패,5패,33-2-24,28-2-33
6,NC,115,55,58,2,0.487,14.0,7승0무3패,7승,29-0-31,26-2-27
7,SSG,123,52,66,5,0.441,19.5,7승0무3패,2승,26-4-30,26-1-36
8,한화,119,51,65,3,0.44,19.5,2승0무8패,2승,23-2-33,28-1-32
8,롯데,118,51,65,2,0.44,19.5,2승0무8패,2패,23-0-34,28-2-31
10,키움,126,43,80,3,0.35,31.0,1승1무8패,2패,26-2-40,17-1-40
