순위,팀명,경기,승,패,무,승률,게임차,최근10경기,연속,홈,방문
1,KT,125,76,46,3,0.623,0.0,7승0무3패,7승,39-1-21,37-2-25
2,삼성,126,74,49,3,0.602,2.5,5승0무5패,2패,37-1-25,37-2-24
3,LG,127,71,55,1,0.563,7.0,6승0무4패,3승,38-0-27,33-1-28
4,KIA,127,68,57,2,0.544,9.5,5승0무5패,1패,38-2-24,30-0-33
5,두산,128,64,60,4,0.516,13.0,3승0무7패,1승,35-2-26,29-2-34
6,NC,123,59,62,2,0.488,16.5,6승0무4패,2패,29-0-33,30-2-29
7,SSG,129,55,69,5,0.444,22.0,6승0무4패,1승,28-4-31,27-1-38
8,한화,126,54,69,3,0.439,22.5,5승0무5패,4패,25-2-35,29-1-34
9,롯데,124,53,69,2,0.434,23.0,3승0무7패,1패,23-0-37,30-2-32
10,키움,131,45,83,3,0.352,34.0,3승0무7패,3패,27-2-41,18-1-42
