순위,팀명,경기,승,패,무,승률,게임차,최근10경기,연속,홈,방문
1,삼성,92,56,34,2,0.622,0.0,7승0무3패,2승,28-1-16,28-1-18
2,KT,89,52,35,2,0.598,2.5,8승1무1패,8승,26-1-19,26-1-16
3,LG,92,52,40,0,0.565,5.0,1승0무9패,8패,30-0-19,22-0-21
4,KIA,94,49,43,2,0.533,8.0,5승0무5패,3패,25-2-19,24-0-24
5,두산,93,47,43,3,0.522,9.0,6승1무3패,1패,25-1-18,22-2-25
6,한화,90,43,44,3,0.494,11.5,4승1무5패,3승,19-2-25,24-1-19
7,NC,89,42,46,1,0.477,13.0,5승0무5패,1패,22-0-23,20-1-23
8,롯데,92,40,50,2,0.444,16.0,4승0무6패,3패,16-0-28,24-2-22
9,SSG,94,35,56,3,0.385,21.5,4승0무6패,3승,16-2-26,19-1-30
10,키움,95,34,59,2,0.366,23.5,5승1무4패,1승,20-1-30,14-1-29
