순위,팀명,경기,승,패,무,승률,게임차,최근10경기,연속,홈,방문
1,KT,95,57,36,2,0.613,0.0,8승1무1패,4승,27-1-19,30-1-17
2,삼성,97,58,37,2,0.611,0.0,6승0무4패,2패,29-1-18,30-1-19
3,LG,98,55,43,0,0.561,4.5,3승0무7패,1패,32-0-20,23-0-23
4,두산,99,51,45,3,0.531,7.5,6승1무3패,2승,27-1-19,24-2-26
5,KIA,100,52,46,2,0.531,7.5,4승0무6패,1패,26-2-20,26-0-26
6,한화,96,46,47,3,0.495,11.0,6승0무4패,1패,22-2-27,24-1-20
7,NC,95,43,50,2,0.462,14.0,3승1무6패,1승,23-0-26,20-2-24
8,롯데,97,42,53,2,0.442,16.0,3승0무7패,2패,17-0-30,25-2-24
9,SSG,100,37,59,4,0.385,21.5,5승1무4패,2패,18-3-28,19-1-31
10,키움,101,37,62,2,0.374,23.0,5승0무5패,1승,21-1-30,16-1-32
