순위,팀명,경기,승,패,무,승률,게임차,최근10경기,연속,홈,방문
1,KT,109,64,42,3,0.604,0.0,4승1무5패,1패,31-1-21,33-2-21
2,삼성,111,65,44,2,0.596,0.5,6승0무4패,2승,32-1-21,33-1-23
3,LG,112,61,50,1,0.55,5.5,5승0무5패,1승,35-0-23,26-1-27
3,KIA,113,61,50,2,0.55,5.5,7승0무3패,1승,31-2-22,30-0-28
5,두산,113,59,50,4,0.541,6.5,6승0무4패,2승,31-2-21,28-2-29
6,NC,106,48,56,2,0.462,15.0,5승0무5패,2패,27-0-31,21-2-25
7,롯데,111,50,59,2,0.459,15.5,6승0무4패,2패,23-0-31,27-2-28
8,한화,110,49,58,3,0.458,15.5,2승0무8패,2패,23-2-31,26-1-27
9,SSG,115,46,64,5,0.418,20.0,5승1무4패,1승,22-4-30,24-1-34
10,키움,116,42,72,2,0.368,26.0,3승0무7패,2승,25-1-34,17-1-38
