순위,팀명,경기,승,패,무,승률,게임차,최근10경기,연속,홈,방문
1,삼성,122,73,46,3,0.613,0.0,8승0무2패,3승,36-1-22,37-2-24
2,KT,119,70,46,3,0.603,1.5,6승0무4패,1승,37-1-21,33-2-25
3,LG,123,68,54,1,0.557,6.5,6승0무4패,3패,38-0-27,30-1-27
4,KIA,121,66,53,2,0.555,7.0,6승0무4패,1패,36-2-22,30-0-31
5,두산,124,62,58,4,0.517,11.5,3승0무7패,1패,33-2-24,29-2-34
6,NC,117,55,60,2,0.478,16.0,7승0무3패,2패,29-0-32,26-2-28
7,한화,121,53,65,3,0.449,19.5,4승0무6패,4승,24-2-33,29-1-32
8,롯데,120,52,66,2,0.441,20.5,2승0무8패,1승,23-0-35,29-2-31
9,SSG,125,52,68,5,0.433,21.5,6승0무4패,2패,26-4-31,26-1-37
10,키움,128,45,80,3,0.36,31.0,3승0무7패,2승,27-2-40,18-1-40
