순위,팀명,경기,승,패,무,승률,게임차,최근10경기,연속,홈,방문
1,삼성,93,57,34,2,0.626,0.0,7승0무3패,3승,28-1-16,29-1-18
2,KT,90,53,35,2,0.602,2.5,9승1무0패,9승,26-1-19,27-1-16
3,LG,93,53,40,0,0.57,5.0,2승0무8패,1승,30-0-19,23-0-21
4,KIA,95,50,43,2,0.538,8.0,6승0무4패,1승,26-2-19,24-0-24
5,두산,94,47,44,3,0.516,10.0,5승1무4패,2패,25-1-19,22-2-25
6,한화,91,43,45,3,0.489,12.5,4승1무5패,1패,19-2-26,24-1-19
7,NC,90,42,47,1,0.472,14.0,4승0무6패,2패,22-0-23,20-1-24
8,롯데,93,40,51,2,0.44,17.0,3승0무7패,4패,16-0-29,24-2-22
9,SSG,95,36,56,3,0.391,21.5,5승0무5패,4승,17-2-26,19-1-30
10,키움,96,34,60,2,0.362,24.5,5승1무4패,1패,20-1-30,14-1-30
