순위,팀명,경기,승,패,무,승률,게임차,최근10경기,연속,홈,방문
1,KT,123,74,46,3,0.617,0.0,7승0무3패,5승,38-1-21,36-2-25
2,삼성,125,74,48,3,0.607,1.0,6승0무4패,1패,37-1-24,37-2-24
3,LG,125,69,55,1,0.556,7.0,6승0무4패,1승,38-0-27,31-1-28
4,KIA,125,67,56,2,0.545,8.5,4승0무6패,1패,37-2-24,30-0-32
5,두산,127,63,60,4,0.512,12.5,2승0무8패,1패,34-2-26,29-2-34
6,NC,121,59,60,2,0.496,14.5,8승0무2패,4승,29-0-32,30-2-28
7,한화,124,54,67,3,0.446,20.5,5승0무5패,2패,25-2-34,29-1-33
8,SSG,128,54,69,5,0.439,21.5,6승0무4패,1패,27-4-31,27-1-38
9,롯데,123,53,68,2,0.438,21.5,3승0무7패,1승,23-0-37,30-2-31
10,키움,131,45,83,3,0.352,33.0,3승0무7패,3패,27-2-41,18-1-42
