순위,팀명,경기,승,패,무,승률,게임차,최근10경기,연속,홈,방문
1,KT,97,59,36,2,0.621,0.0,9승0무1패,6승,29-1-19,31-1-17
2,삼성,101,59,40,2,0.596,2.0,4승0무6패,3패,29-1-19,30-1-21
3,LG,102,56,45,1,0.554,6.0,4승1무5패,1승,32-0-20,24-1-25
4,두산,102,53,45,4,0.541,7.5,6승1무3패,4승,29-2-19,24-2-26
5,KIA,101,53,46,2,0.535,8.0,4승0무6패,1승,27-2-20,26-0-26
6,한화,100,47,50,3,0.485,13.0,4승0무6패,1패,22-2-27,25-1-23
7,NC,95,43,50,2,0.462,15.0,3승1무6패,1승,23-0-27,20-2-24
8,롯데,101,44,55,2,0.444,17.0,4승0무6패,1패,19-0-30,25-2-25
9,SSG,104,40,60,4,0.4,21.5,5승1무4패,2승,20-3-28,20-1-32
10,키움,105,38,65,2,0.369,25.0,4승0무6패,2패,22-1-32,16-1-33
