순위,팀명,경기,승,패,무,승률,게임차,최근10경기,연속,홈,방문
1,KT,101,61,38,2,0.616,0.0,8승0무2패,1승,30-1-19,31-1-19
2,삼성,104,61,41,2,0.598,1.5,4승0무6패,2승,30-1-19,31-1-22
3,LG,105,57,47,1,0.548,6.5,3승1무6패,1패,32-0-21,25-1-26
4,두산,104,54,46,4,0.54,7.5,7승1무2패,1승,30-2-20,24-2-26
5,KIA,103,54,47,2,0.535,8.0,5승0무5패,1패,28-2-21,26-0-26
6,한화,103,48,52,3,0.48,13.5,4승0무6패,2패,22-2-27,26-1-25
7,NC,99,46,51,2,0.474,14.0,4승1무5패,3승,25-0-27,21-2-24
8,롯데,104,45,57,2,0.441,17.5,4승0무6패,1패,19-0-31,26-2-26
9,SSG,107,42,61,4,0.408,21.0,6승0무4패,1승,21-3-29,21-1-32
10,키움,108,39,67,2,0.368,25.5,4승0무6패,2패,23-1-33,16-1-34
