순위,팀명,경기,승,패,무,승률,게임차,최근10경기,연속,홈,방문
1,KT,128,77,47,4,0.621,0.0,8승1무1패,1승,40-1-22,37-3-25
2,삼성,130,76,51,3,0.598,2.5,5승0무5패,1패,38-1-25,38-2-26
3,LG,130,74,55,1,0.574,5.5,6승0무4패,6승,39-0-27,35-1-28
4,KIA,129,70,57,2,0.551,8.5,5승0무5패,2승,39-2-24,31-0-33
5,두산,131,65,61,5,0.516,13.0,4승1무5패,1패,36-3-26,29-2-35
6,NC,127,59,66,2,0.472,18.5,4승0무6패,6패,29-0-36,30-2-30
7,SSG,131,57,69,5,0.452,21.0,7승0무3패,3승,28-4-31,29-1-38
8,롯데,128,55,71,2,0.437,23.0,4승0무6패,2승,25-0-38,30-2-33
9,한화,129,54,71,4,0.432,23.5,3승1무6패,6패,25-3-36,29-1-35
10,키움,133,45,84,4,0.349,34.5,3승1무6패,4패,27-2-41,18-2-43
